#,Building Name,City,Country,Height (m),Completed,Use
858,Far East Finance Centre,Hong Kong ,China,176.1,1982,office
859,The Metropolis 1,Chengdu ,China,176,2013,residential
859,The Metropolis 2,Chengdu ,China,176,2013,residential
861,Truroll Plaza,Wuhan ,China,176,1996,office
862,Future Plaza Office Tower 1,Chengdu ,China,176,2014,office
862,Future Plaza Office Tower 2,Chengdu ,China,176,2014,office
864,NEO Tower B,Shenzhen ,China,176,2010,office
865,One Kowloon,Hong Kong ,China,176,2007,office
866,Hongwell International Plaza,Changchun ,China,176,2016,hotel / office
867,Chongqing Nationality Plaza B,Chongqing ,China,175.6,1998,hotel
868,Billionaire Royale,Hong Kong ,China,175.5,2010,
869,Pearl River International Building,Guangzhou ,China,175.1,2010,office
870,Oscar by the Sea Tower 5,Hong Kong ,China,175.1,2002,residential
871,Yantai Shimao No. 4,Yantai ,China,175,2011,residential
872,Vianni Cove 2,Hong Kong ,China,175,2003,residential
872,Vianni Cove 3,Hong Kong ,China,175,2003,residential
874,The Excellency 1,Chengdu ,China,175,2012,residential
874,The Excellency 2,Chengdu ,China,175,2012,residential
876,Coastal International Center Tower 1,Dalian ,China,175,2010,residential
876,Coastal International Center Tower 2,Dalian ,China,175,2010,residential
876,Coastal International Center Tower 3,Dalian ,China,175,2010,residential
876,Shimao Splendid Yangtze Tower 1,Wuhan ,China,175,2011,office
880,Suzhou Henghe Plaza,Suzhou ,China,175,2000,hotel / office / retail
881,R&F Center,Chengdu ,China,175,2008,hotel / office
882,Enterprise Square 3,Hong Kong ,China,175,2004,office
882,Wanyin International 1,Hangzhou ,China,175,2010,office
884,Westin Guangzhou Hotel,Guangzhou ,China,175,2007,hotel
885,Crowne Plaza,Qingdao ,China,175,1998,hotel
885,Wanda East Port Tower 2,Dalian ,China,175,2012,hotel
887,Tavistock II,Hong Kong ,China,175,1999,residential
888,Ocean Shores Tower 1-3,Hong Kong ,China,174.4,2001,residential
888,Ocean Shores Tower 15,Hong Kong ,China,174.4,2003,residential
888,Ocean Shores Tower 16-17,Hong Kong ,China,174.4,2003,residential
888,Ocean Shores Tower 5,Hong Kong ,China,174.4,2001,residential
888,Ocean Shores Tower 6,Hong Kong ,China,174.4,2001,residential
888,Ocean Shores Tower 7,Hong Kong ,China,174.4,2002,residential
888,Ocean Shores Tower 8,Hong Kong ,China,174.4,2002,residential
888,Ocean Shores Tower 9-10,Hong Kong ,China,174.4,2002,residential
896,Liu Chong Hing Finance Center,Shanghai ,China,174,2006,office
897,The International Bank Plaza,Xiamen ,China,174,2002,office
898,Metro Plaza Tower I,Hong Kong ,China,173.9,1992,office
899,China Resources Building,Shenyang ,China,173.2,2011,office
900,R&F Profit Plaza,Guangzhou ,China,173.1,2006,office
901,Shen Fang Plaza,Shenzhen ,China,173,1996,office
901,Shimao Riviera Garden 1,Shanghai ,China,173,2000,residential
903,Enterprise Square 5 / MegaBOX,Hong Kong ,China,173,2007,office / retail
904,Queen's Garden,Hong Kong ,China,172.7,1992,residential
905,Shanghai Hitachi Research Tower,Shanghai ,China,172.6,2010,industrial
906,The ONE,Hong Kong ,China,172.1,2010,retail
907,Greenland Plaza Apartment Block 1,Dalian ,China,172,2014,residential
907,Greenland Plaza Apartment Block 2,Dalian ,China,172,2014,residential
907,Greenland Plaza Apartment Block 3,Dalian ,China,172,2014,residential
910,"Peregrine Tower, Lippo Centre",Hong Kong ,China,172,1988,office
911,Dongguan Guangying Tower,Dongguan ,China,172,2011,
911,Dorset House/PCCW Tower,Hong Kong ,China,172,1994,office
913,Tianfu Times Tower 1,Chengdu ,China,172,2010,office
913,Tianfu Times Tower 8,Chengdu ,China,172,2010,office
915,Huizhou Wheat and World Trade Center,Huizhou ,China,172,2005,office
916,Four Seasons Hotel,Shanghai ,China,172,2002,hotel
917,Shimao Wulihe City 10#,Shenyang ,China,171.6,2014,residential
917,Shimao Wulihe City 7#,Shenyang ,China,171.6,2014,residential
919,Vianni Cove 1,Hong Kong ,China,171.6,2003,residential
920,Ocean Shores Tower 11-13,Hong Kong ,China,171.4,2003,residential
921,Chongqing IFS T2,Chongqing ,China,171.3,2015,office / retail
922,Zhongxin Finance Tower,Weihai ,China,171.2,1998,office
923,Metro Harbourview 1,Hong Kong ,China,171,2003,residential
923,Metro Harbourview 10,Hong Kong ,China,171,2003,residential
923,Metro Harbourview 2,Hong Kong ,China,171,2003,residential
923,Metro Harbourview 3,Hong Kong ,China,171,2003,residential
923,Metro Harbourview 4,Hong Kong ,China,171,2003,residential
923,Metro Harbourview 5,Hong Kong ,China,171,2003,residential
923,Metro Harbourview 6,Hong Kong ,China,171,2003,residential
923,Metro Harbourview 7,Hong Kong ,China,171,2003,residential
923,Metro Harbourview 8,Hong Kong ,China,171,2003,residential
923,Metro Harbourview 9,Hong Kong ,China,171,2003,residential
933,Yilong · Vientiane City,Kunming ,China,171,2013,office
934,Eton Shenyang Center #11,Shenyang ,China,170.7,2015,residential
935,Xiwang Tower,Dalian ,China,170.6,1999,office
936,Poly Center,Guangzhou ,China,170.5,2009,office
937,L'Hotel Nina Tower,Hong Kong ,China,170.4,2006,hotel
938,Chongqing IFS T6,Chongqing ,China,170.2,2015,office / retail
939,Arezzo,Hong Kong ,China,170,2015,residential
940,China Resources Center Yuefu #10,Shenyang ,China,170,2013,residential
940,China Resources Center Yuefu #6,Shenyang ,China,170,2013,residential
940,China Resources Center Yuefu #8,Shenyang ,China,170,2013,residential
943,Tianli Plaza Tower A,Wuhan ,China,170,2008,office
944,Chief Fine Building,Nanjing ,China,170,1999,
944,World Trade Plaza,Shenzhen ,China,170,2000,
946,Aoti Wanda Plaza Tower A,Shenyang ,China,170,2013,office
946,Aoti Wanda Plaza Tower B,Shenyang ,China,170,2013,office
946,Aoti Wanda Plaza Tower C,Shenyang ,China,170,2013,office
946,Southland Garden,Chongqing ,China,170,2005,residential / retail
950,Shandong Agricultural Bank,Jinan ,China,170,1999,office
951,Shanghai Grand Center,Shanghai ,China,170,2011,office
951,Xihuwenhua Square,Hangzhou ,China,170,2005,residential / hotel
953,Galaxy Century A,Shenzhen ,China,170,2006,office
953,Western International Finance Center Tower 2,Chengdu ,China,170,2015,office
955,Harbin Exhibition Center Hotel,Harbin ,China,170,2004,hotel
955,Huaqiang Plaza,Shijiazhuang ,China,170,2014,multiple
955,Shenzhen Commerical Bank Building,Shanghai ,China,170,2010,office
958,Jiuzhou International,Liuzhou ,China,170,2014,office
959,Shenzhen Kerry Centre I,Shenzhen ,China,170,1997,office / retail
960,Hui Sheng Xingzheng Apartments,Chengdu ,China,170,2010,residential
961,Peace City Modern D1,Dalian ,China,169.8,2005,residential
962,Sichuan Aerospace Tower,Chengdu ,China,169.8,2008,office
963,Jiangsheng Tower,Shenzhen ,China,169.8,2008,office
964,Langham Place Hotel,Hong Kong ,China,169.8,2004,hotel
965,Albany Cove 6,Hong Kong ,China,169.5,2004,residential
965,Albany Cove 7,Hong Kong ,China,169.5,2004,residential
965,Albany Cove 8,Hong Kong ,China,169.5,2004,residential
965,Caribbean Coast 10,Hong Kong ,China,169.5,2005,residential
965,Caribbean Coast 11,Hong Kong ,China,169.5,2005,residential
965,Caribbean Coast 12,Hong Kong ,China,169.5,2005,residential
965,Caribbean Coast 13,Hong Kong ,China,169.5,2005,residential
965,Caribbean Coast 15,Hong Kong ,China,169.5,2005,residential
965,Caribbean Coast 9,Hong Kong ,China,169.5,2005,residential
965,Monterey Cove 2,Hong Kong ,China,169.5,2003,residential
965,Monterey Cove 3,Hong Kong ,China,169.5,2003,residential
965,Monterey Cove 5,Hong Kong ,China,169.5,2003,residential
977,W Guangzhou,Guangzhou ,China,169.5,2013,residential / hotel
978,Dongyuan Centre T2,Chongqing ,China,169.5,2016,office / retail
979,Oscar by the Sea Tower 8,Hong Kong ,China,169.5,2002,residential
980,City Heights T1,Chongqing ,China,169.3,2011,residential
981,Airport Hotel,Xiamen ,China,169.3,2011,hotel
982,Laiyuan Plaza 1,Urumqi ,China,169.2,2008,office
982,Laiyuan Plaza 2,Urumqi ,China,169.2,2008,office
984,Nanjing Shimao Riviera New City 1,Nanjing ,China,169,2006,residential
985,Park Lane Manor 7,Nanning ,China,169,2016,residential
985,Park Lane Manor 8,Nanning ,China,169,2016,residential
985,Park Lane Manor 9,Nanning ,China,169,2016,residential
988,Summit Terrace 3,Hong Kong ,China,169,2003,residential
988,Summit Terrace 5,Hong Kong ,China,169,2003,residential
990,Tongwei International Center,Chengdu ,China,169,2013,office
991,Shanghai Central Square,Shanghai ,China,169,1998,office
992,Square One,Chengdu ,China,169,2011,office / retail
993,International Fortune Plaza Tower B,Suzhou ,China,169,2016,office
994,Shimao Riviera Garden 2,Shanghai ,China,168.9,2002,residential
994,Shimao Riviera Garden 3,Shanghai ,China,168.9,2002,residential
994,Shimao Riviera Garden 5,Shanghai ,China,168.9,2002,residential
997,"Shell Tower, Times Square",Hong Kong ,China,168.8,1993,office / retail
998,AZIA Center,Shanghai ,China,168.8,2005,office
999,"The Avenue Phase 2, T2",Hong Kong ,China,168.7,2015,residential
999,"The Avenue Phase 2, T3",Hong Kong ,China,168.7,2015,residential
1100,Kangde International A,Chongqing ,China,165,2014,office / retail
1100,Kangde International B,Chongqing ,China,165,2014,office / retail
1103,Dikai International Center,Hangzhou ,China,165,2009,office
1104,International Financial Building,Jinan ,China,165,1997,office
1105,Junyao Times Square,Yichang ,China,165,2005,hotel / retail
1106,Lime Stardom,Hong Kong ,China,165,2011,residential
1106,News Center Building,Shenzhen ,China,165,1996,office
1108,Huahang Building,Shenyang ,China,165,2014,office
1109,Yi Fa Tower,Fuzhou ,China,165,2002,office
1110,TaiKoo Hui Tower 2,Guangzhou ,China,165,2011,office
1111,Shanghai Commercial Center,Shanghai ,China,164.9,1995,office
1112,Grand Hyatt Serviced Apartments,Hong Kong ,China,164.9,1990,serviced apartments
1113,Trilec International Finance Tower A,Nanchang ,China,164.9,2008,residential / hotel
1114,The SuzhouModern Media Plaza 2,Suzhou ,China,164.9,2015,hotel / serviced apartments
1115,Fraser Suites Chengdu,Chengdu ,China,164.9,2010,serviced apartments
1116,Portman Ritz-Carlton,Shanghai ,China,164.8,1990,hotel
1117,Huamin Empire Plaza,Chengdu ,China,164.8,2007,office
1118,Sky Tower 1-2,Hong Kong ,China,164.7,2004,residential
1118,Sky Tower 3-7,Hong Kong ,China,164.7,2004,residential
1120,J.W. Marriott and The Upper House,Hong Kong ,China,164.5,1988,hotel
1121,Harbour Style A,Liuzhou ,China,164.4,2015,residential
1122,The Gloucester,Hong Kong ,China,164.2,2013,residential
1123,Seaview Crescent 5,Hong Kong ,China,164,2003,residential
1124,Shimao Butterfly Bay,Suzhou ,China,164,2010,residential
1125,Sheraton Nanjing Kingsley Hotel & Towers,Nanjing ,China,164,1998,hotel
1126,Excellence Century Center Tower 2,Qingdao ,China,164,2016,office
1126,Excellence Century Center Tower 3,Qingdao ,China,164,2016,office
1128,Tianjin Evening News Hotel,Tianjin ,China,164,1998,residential / hotel / office
1129,Beijing Nexus Center,Beijing ,China,163.9,2009,office
1130,Verbena Heights 3-6,Hong Kong ,China,163.8,1997,residential
1131,Top View 2,Guangzhou ,China,163.8,2006,residential
1131,Zhonghai Guanyuan International,Guangzhou ,China,163.8,2006,residential
1133,"Chengdu Fantasia Meinian Plaza, Tower B",Chengdu ,China,163.8,2016,office
1134,The Riverside 3,Guangzhou ,China,163.7,2009,residential
1134,The Riverside 4,Guangzhou ,China,163.7,2009,residential
1136,Monterey Cove 1,Hong Kong ,China,163.6,2003,residential
1137,Rainbow City 5,Liuzhou ,China,163.6,2015,residential
1138,Moi Center Tower C,Shenyang ,China,163.2,2014,residential
1139,Lanko Conference & Exhibition International Plaza Meige,Chongqing ,China,163.2,2009,office / residential / retail
1140,Dalian Times Square 1,Dalian ,China,163,2008,residential / office
1141,Sunway New Sky,Chongqing ,China,163,2008,residential
1142,Minxing Financial Tower,Chengdu ,China,163,1998,office
1142,R&F Yinglong Plaza,Guangzhou ,China,163,2005,office
1144,K Wah Center,Shanghai ,China,163,2004,office
1145,Shenyang Kerry Center T1,Shenyang ,China,163,2014,office
1146,Bank of China,Macau ,China,163,1992,office
1146,Yu Hai World Financial Center,Zhuhai ,China,163,2013,office
1148,La Cite Noble Tower 1,Hong Kong ,China,163,1999,residential
1148,La Cite Noble Tower 4,Hong Kong ,China,163,1999,residential
1148,La Cite Noble Tower 6,Hong Kong ,China,163,1999,residential
1151,Park Central 10,Hong Kong ,China,162.4,2002,residential
1151,Park Central 7,Hong Kong ,China,162.4,2002,residential
1151,Park Central 8,Hong Kong ,China,162.4,2002,residential
1151,Park Central 9,Hong Kong ,China,162.4,2002,residential
1155,Banyan Garden 1,Hong Kong ,China,162.4,2003,residential
1155,Banyan Garden 8,Hong Kong ,China,162.4,2003,residential
1157,Exemption Tower,Shenzhen ,China,162.4,2006,office
1158,Shenyang Kerry Center 10#,Shenyang ,China,162.4,2014,residential
1158,Shenyang Kerry Center 11#,Shenyang ,China,162.4,2015,residential
1158,Shenyang Kerry Center 12#,Shenyang ,China,162.4,2015,residential
1158,Shenyang Kerry Center 13#,Shenyang ,China,162.4,2015,residential
1158,Shenyang Kerry Center 14#,Shenyang ,China,162.4,2013,residential
1158,Shenyang Kerry Center 15#,Shenyang ,China,162.4,2013,residential
1164,Times Property Centre,Guangzhou ,China,162.3,1999,office
1165,118 Connaught Road West,Hong Kong ,China,162,1994,office
1166,Minnan Hotel,Xiamen ,China,162,1995,hotel
1167,New Century Hotel,Wuhan ,China,162,2002,hotel
1168,Anlian Tower,Shenzhen ,China,162,2004,office
1169,Shimao Bund Garden 2,Fuzhou ,China,162,2007,residential
1169,Shimao Bund Garden 5,Fuzhou ,China,162,2007,residential
1171,Guofang Hotel,Lanzhou ,China,161.9,2008,hotel
1172,One Pacific Place,Hong Kong ,China,161.8,1988,office
1173,StarWorld Hotel,Macau ,China,161.8,2006,hotel / casino
1174,Haizhu Peninsula Garden Tower 4,Guangzhou ,China,161.7,1998,residential
1174,Haizhu Peninsula Garden Tower 5,Guangzhou ,China,161.7,1998,residential
1174,Haizhu Peninsula Garden Tower 6,Guangzhou ,China,161.7,1998,residential
1174,Haizhu Peninsula Garden Tower 7,Guangzhou ,China,161.7,2002,residential
1174,Haizhu Peninsula Garden Tower 8,Guangzhou ,China,161.7,2002,residential
1174,Haizhu Peninsula Garden Tower 9,Guangzhou ,China,161.7,2002,residential
1180,International Trade Center A,Chongqing ,China,161.4,2006,office
1180,International Trade Center B,Chongqing ,China,161.4,2007,hotel
1182,The Wave of Science and Technology Park S01 Research Building,Jinan ,China,161.3,2014,office
1183,Jiu Jie Gao Wu A,Chongqing ,China,161.3,2012,office / retail
1184,Poly International Plaza – Dawangjing,Beijing ,China,161.2,2016,office
1185,Victory Plaza Tower B,Guangzhou ,China,161.1,2007,office
1186,Seaview Crescent 1-3,Hong Kong ,China,161,2003,residential
1187,"Coastal Skyline 1-3,5-6, Tung Chung",Hong Kong ,China,161,2002,residential
1187,"Coastal Skyline 7-8, Tung Chung",Hong Kong ,China,161,2004,residential
1189,Shimao Riviera Garden 6,Shanghai ,China,161,2001,residential
1190,Lanko Hyatt Business Mansion,Chongqing ,China,161,2004,office / retail
1191,Xiongfei Center Office Building,Chengdu ,China,161,2014,office
1192,Oriental Plaza T2,Chongqing ,China,161,2015,office / retail
1193,Poly Real Estate Headquarters Tower 1,Guangzhou ,China,160.6,2007,office
1193,Poly Real Estate Headquarters Tower 2,Guangzhou ,China,160.6,2007,office
1195,Oriental Fisherman's Wharf Tower,Shanghai ,China,160.5,2015,residential / office
1196,Zhongzhou E-ClASS,Shenzhen ,China,160.3,2016,residential / retail
1197,Fortune Heights T11,Tianjin ,China,160.3,2014,residential
1197,Fortune Heights T14,Tianjin ,China,160.3,2014,residential
1199,Les Saisons,Hong Kong ,China,160.1,2002,residential
1200,Metropolis 1,Hong Kong ,China,160.1,2005,residential
1200,Metropolis 2,Hong Kong ,China,160.1,2005,residential
1200,Metropolis 3,Hong Kong ,China,160.1,2005,residential
1200,Metropolis 5,Hong Kong ,China,160.1,2005,residential
1204,Gree Square R1,Zhuhai ,China,160,2014,residential / residential
1204,Gree Square R2,Zhuhai ,China,160,2014,residential / residential
1206,Buckingham Place,Macau ,China,160,2009,residential
1206,International Foreign Trade Center,Shenzhen ,China,160,1985,hotel
1208,Belcher's Hill,Hong Kong ,China,160,2011,residential
1208,Juno Tower,Shenzhen ,China,160,1999,residential / hotel
1208,Xinbaolong Yicheng Tower 4,Chongqing ,China,160,2009,residential
1211,Hongding International Garden A,Chongqing ,China,160,2005,office / retail
1211,Park Lane Manor - Tower 1,Shenzhen ,China,160,2009,residential
1211,Park Lane Manor - Tower 2,Shenzhen ,China,160,2009,residential
1211,Park Lane Manor - Tower 3,Shenzhen ,China,160,2009,residential
1211,Wanda Plaza 48 Carat,Ningbo ,China,160,2009,office / residential / retail
1216,Agricultural Bank of China Tower,Changsha ,China,160,1984,office
1216,R&F Mansion,Chengdu ,China,160,2013,residential
1218,Island Lodge,Hong Kong ,China,160,2009,residential
1218,Peace Hotel Tower A,Nanchang ,China,160,2013,hotel
1218,Zun Bao Gold Tower,Hangzhou ,China,160,2009,office
1218,Zun Bao Silver Tower,Hangzhou ,China,160,2009,office
1222,United Plaza,Shanghai ,China,160,2001,office
1223,Huaxia Bank Tower,Shanghai ,China,160,1998,office
1224,Ningbo Marriott Hotel,Ningbo ,China,160,2008,hotel / office
1224,Sichuan Bank of China,Chengdu ,China,160,1994,office
1226,Galaxy Macau Phase II,Macau ,China,160,2015,hotel / casino
1226,Xufu Lane Telecom Building,Nanjing ,China,160,2004,residential / office
1228,Huaren International Mansion,Qingdao ,China,160,2002,office
1229,Jinan Center Financial City A4-3,Jinan ,China,160,2016,office
1229,Jinan Center Financial City A5-1,Jinan ,China,160,2016,office
1229,Jinan Center Financial City A5-5,Jinan ,China,160,2016,office
1232,Jinan Center Financial City A4-4,Jinan ,China,160,2016,office
1233,Funian Plaza Loft Building 1,Chengdu ,China,160,2010,
1234,Doyen ARC Central Square,Chongqing ,China,160,2013,office
1234,Funian Plaza Loft Building 2,Chengdu ,China,160,2010,
1234,Jinshui Wanda Center Residential Tower 1,Zhengzhou ,China,160,2016,residential
1234,Jinshui Wanda Center Residential Tower 2,Zhengzhou ,China,160,2016,residential
1234,Jinshui Wanda Center Residential Tower 3,Zhengzhou ,China,160,2016,residential
1234,Wanxiang City Tower 5,Hangzhou ,China,160,2014,
1240,One Peking Road,Hong Kong ,China,160,2003,office
1241,Victory Garden Block B,Guangzhou ,China,159.9,2004,residential
1242,One Wanchai,Hong Kong ,China,159.7,2012,residential
1243,Shimao Wulihe City 3#,Shenyang ,China,159.6,2011,residential
1244,The Landmark Gloucester Tower,Hong Kong ,China,159.4,1980,office
1245,The Landmark Edinburgh Tower,Hong Kong ,China,159.4,1983,hotel / office
1246,Dynasty Court Tower 1-2,Hong Kong ,China,159,1991,residential
1247,Post Chateau Block A,Guangzhou ,China,159,2005,residential
1247,Post Chateau Block B,Guangzhou ,China,159,2005,residential
1249,Cambridge House,Hong Kong ,China,159,2003,office
1250,TVCC,Beijing ,China,159,2016,hotel
1251,Telecommunications Commanding Center,Zhenjiang ,China,159,2002,office
1252,Sheraton Hotel Guiyang,Guiyang ,China,158.6,2005,hotel
1253,China Resources Plaza Block B,Chongqing ,China,158.6,2015,office / retail
1254,Financial Centre D,Chongqing ,China,158.5,2011,office
1255,Landmark Riverside T10,Chongqing ,China,158.4,2016,residential / retail
1255,Landmark Riverside T9,Chongqing ,China,158.4,2014,residential / retail
1257,Xi Sui Dong 1,Wuxi ,China,158.3,2013,residential
1257,Xi Sui Dong 2,Wuxi ,China,158.3,2013,residential
1259,Galaxia Tower 2,Hong Kong ,China,158.3,1998,residential
1259,Galaxia Tower 3,Hong Kong ,China,158.3,1998,residential
1259,Galaxia Tower 5,Hong Kong ,China,158.3,1998,residential
1262,Jinlong Center Tower 1,Jinan ,China,158.1,2001,office
1263,Nanjing Tianan International Mansion,Nanjing ,China,158,2003,residential / office
1264,CITIC Mangrove Bay R1,Zhuhai ,China,158,2013,residential
1264,CITIC Mangrove Bay R2,Zhuhai ,China,158,2013,residential
1266,International Customer Transportation Center Tower 1,Qingdao ,China,158,2000,residential / hotel / office
1266,International Customer Transportation Center Tower 2,Qingdao ,China,158,2002,residential / hotel / office
1268,148 Electric Road,Hong Kong ,China,158,2001,office
1269,Times-Kaiyue Main Tower,Chengdu ,China,158,1994,residential
1270,Qilu Centre Tower Hotel,Jinan ,China,158,1997,hotel
1271,Shijiazhuang Pelagic Hotel,Shijiazhuang ,China,158,2009,hotel
1271,Silver Palace,Xiamen ,China,158,2008,residential / office
1273,Holiday Inn Shanghai Pudong,Shanghai ,China,158,1997,hotel / office
1274,Excellence Meilin Project Tower 1,Shenzhen ,China,158,2016,office
1274,Excellence Meilin Project Tower 2,Shenzhen ,China,158,2016,office
1276,Xi'an Telecommuniations Hinge Center,Xi’an ,China,157.9,1999,office
1277,Golden Sail Plaza,Shanghai ,China,157.8,2003,office
1278,Century Gateway 1,Hong Kong ,China,157.7,2014,residential
1278,Century Gateway 2,Hong Kong ,China,157.7,2014,residential
1278,Century Gateway 3,Hong Kong ,China,157.7,2014,residential
1278,Century Gateway 5,Hong Kong ,China,157.7,2014,residential
1278,Century Gateway 6,Hong Kong ,China,157.7,2014,residential
1278,Century Gateway 7,Hong Kong ,China,157.7,2014,residential
1278,Century Gateway 8,Hong Kong ,China,157.7,2014,residential
1285,Shenzhen Zhongzhou Holdings Financial Center Tower B,Shenzhen ,China,157.6,2014,residential
1286,Guangxi Water Conservancy Electric Industry Business Building,Nanning ,China,157.6,2015,office
1287,Bank of Chongqing Tower,Chongqing ,China,157.5,2015,office
1288,La Cite Noble Tower 2,Hong Kong ,China,157.4,1999,residential
1288,La Cite Noble Tower 5,Hong Kong ,China,157.4,1999,residential
1290,Park Towers One,Hong Kong ,China,157.1,1989,residential
1291,Summit Terrace 1,Hong Kong ,China,157,2003,residential
1292,Westin Hotel,Ningbo ,China,157,2012,hotel
1293,Nanchang World Trade Center 1,Nanchang ,China,157,2007,office
1293,Nanyuan New City Hotel,Ningbo ,China,157,2012,hotel
1293,Telecom Tower,Jiangmen ,China,157,2003,office
1293,The Atrium Serviced Apartments,Chengdu ,China,157,2015,serviced apartments
1297,Circle of Life,Fushun ,China,157,2012,other
1298,Shaanxi International Mansion Tower I,Taiyuan ,China,156.9,2003,office
1298,Shaanxi International Mansion Tower II,Taiyuan ,China,156.9,2003,hotel
1300,Le Sommet,Hong Kong ,China,156.8,2000,residential
1301,SEC Center Office Building,Xiamen ,China,156.8,2014,office
1302,"Ellery Terrace, Kowloon",Hong Kong ,China,156.5,2000,residential
1303,Liberte 7,Hong Kong ,China,156.4,2003,residential
1304,Jinan Center Financial City A5-4,Jinan ,China,156.2,2016,office
1305,57 Jingshi Road,Jinan ,China,156.1,2008,office
1306,COSCO Tower 1,Tianjin ,China,156.1,1997,office
1307,Tianjin Ocean Shipping Mansion,Tianjin ,China,156,1997,office
1308,China Merchants Tower,Hong Kong ,China,156,1985,office
1308,Ningbo Red Giant Building,Ningbo ,China,156,2012,office
1308,Shun Tak Centre West,Hong Kong ,China,156,1985,office
1311,"Chengdu Fantasia Meinian Plaza, Tower A",Chengdu ,China,156,2016,office
1311,Excellence Century Plaza Tower 4,Shenzhen ,China,156,2010,hotel
1313,Wanda Plaza A,Liuzhou ,China,156,2015,office
1313,Zhujiang New City International Tower A4,Chengdu ,China,156,2015,office
1315,Beaconsfield Office Building A,Zhuhai ,China,156,2014,office
1316,China Telecom Building,Wenzhou ,China,156,1999,office
1317,Riverview Plaza A2,Wuhan ,China,156,2016,office
1318,Sunlight Tower,Hong Kong ,China,155.9,1999,office
1319,Shenzhen Xinhe World Office Tower A,Shenzhen ,China,155.9,2015,office
1319,Shenzhen Xinhe World Office Tower B,Shenzhen ,China,155.9,2015,office
1321,Lai San Kok,Macau ,China,155.8,2008,residential
1322,Park Avenue Towers 6-10,Hong Kong ,China,155.6,2000,residential
1323,Galaxia Tower 1,Hong Kong ,China,155.3,1998,residential
1323,Galaxia Tower 6,Hong Kong ,China,155.3,1998,residential
1325,Henley Building,Hong Kong ,China,155.1,1998,office
1326,Longfor International,Chongqing ,China,155.1,2012,office / retail
1327,Taicang New Port Businese Area NO.1 Building,Taicang ,China,155.1,2010,office
1328,Anshan Silong Building,Anshan ,China,155,2008,office
1328,Grace Mansion,Shenzhen ,China,155,2001,residential
1330,Tianli Plaza Tower II,Wuhan ,China,155,2002,
1331,Goaxin International Communication Center,Xi’an ,China,155,2000,office
1331,The Atrium Residences,Chengdu ,China,155,2012,residential
1333,China World Trade Center I,Beijing ,China,155,1989,office
1333,China World Trade Center II,Beijing ,China,155,1999,office
1335,City155,Shanghai ,China,155,2013,SOHO / office / retail
1336,Shangri-La Chengdu,Chengdu ,China,155,2007,residential / hotel
1337,Shanghai Times Square,Shanghai ,China,155,1997,office / retail
1338,Bank of Communications Tower,Hong Kong ,China,155,1996,office
1338,Fortune Plaza A,Chongqing ,China,155,2009,office
1340,Shenzhen Coastal City West Tower,Shenzhen ,China,155,2008,office
1341,East Pacific Center Tower D,Shenzhen ,China,155,2010,office
1341,Suncome Liauw Building,Shanghai ,China,155,1999,office
1343,7 Corporate Avenue,Chongqing ,China,154.7,2014,office
1344,Jinan Center Financial City A1-5,Jinan ,China,154.6,2016,office
1345,Li Po Chun Chambers,Hong Kong ,China,154.4,1995,office
1346,Jinan Center Financial City A5-2,Jinan ,China,154.2,2016,office
1347,Eka Garden B1,Shenyang ,China,154,2015,residential
1347,Eka Garden B2,Shenyang ,China,154,2015,residential
1347,Eka Garden B3,Shenyang ,China,154,2015,residential
1347,Eka Garden B4,Shenyang ,China,154,2015,residential
1351,Gulf Bank Apartments A,Zhuhai ,China,154,2014,residential
1352,Changhong Technology Tower,Chengdu ,China,154,2013,office
1353,Fulong City,Nanchang ,China,154,2015,office
1353,MGM Grand Macau,Macau ,China,154,2007,hotel / casino
1355,Guangdong Color TV Center,Guangzhou ,China,154,1991,office
1356,Dalian Telecommunications Center,Dalian ,China,154,1996,office
1357,Hyatt Hotel - China Resources Center,Shenyang ,China,154,2013,hotel
1358,Metro City I Tower 3,Hong Kong ,China,153.9,1996,residential
1358,Metro City I Tower 4,Hong Kong ,China,153.9,1996,residential
1358,Metro City I Tower 5,Hong Kong ,China,153.9,1996,residential
1358,Metro City I Tower 6,Hong Kong ,China,153.9,1996,residential
1362,Metro City I Tower 1,Hong Kong ,China,153.9,1996,residential
1362,Metro City I Tower 2,Hong Kong ,China,153.9,1996,residential
1364,Times Square H-office A,Urumqi ,China,153.8,2011,office
1364,Times Square H-office B,Urumqi ,China,153.8,2011,office
1366,Tianning Pagoda,Changzhou ,China,153.8,2007,religious
1367,The Panorama,Hong Kong ,China,153.7,1999,residential
1368,Shengda Jinpan 1,Shanghai ,China,153.6,2005,residential
1368,Shengda Jinpan 2,Shanghai ,China,153.6,2005,residential
1368,Shengda Jinpan 3,Shanghai ,China,153.6,2005,residential
1371,New Caohejing International Business Center A,Shanghai ,China,153.5,2010,office
1371,New Caohejing International Business Center B,Shanghai ,China,153.5,2010,office
1373,Liberte 8,Hong Kong ,China,153.4,2003,residential
1374,Luoyang Police Communication Tower,Luoyang ,China,153.3,2003,office
1375,Dayong Commercial Center 1,Shenzhen ,China,153.2,2015,office
1376,Le Palais,Guangzhou ,China,153,2000,residential
1377,Jin Jiang Hotel,Shanghai ,China,153,1988,hotel
1378,Tomson Riviera Garden 1,Shanghai ,China,153,2005,residential
1378,Tomson Riviera Garden 2,Shanghai ,China,153,2005,residential
