Building Name,City,Height (m),Completed,Material,Use
Hilton Times Square,New York City  ,144.8,2000,,hotel
Book Tower,Detroit  ,144.8,1926,steel,office
The Signature at MGM Grand Tower I,Las Vegas  ,144.8,2006,concrete,residential
The Signature at MGM Grand Tower II,Las Vegas  ,144.8,2006,concrete,residential
The Signature at MGM Grand Tower III,Las Vegas  ,144.8,2007,concrete,residential
Metropolitan Tower,Chicago  ,144.8,1924,steel,office
Cook County Administration Building,Chicago  ,144.8,1964,concrete,office
Venetian Resort-Hotel-Casino,Las Vegas  ,144.8,1999,concrete,hotel / casino
Koppers Building,Pittsburgh  ,144.8,1929,steel,office
Riverbank West Apartments,New York City  ,145,1987,,office
45 Fremont Center,San Francisco  ,145,1979,steel,office
Prism Tower,New York City  ,145,2015,concrete,residential
100 Pine Center,San Francisco  ,145.1,1972,steel,office
Loews Philadelphia Hotel,Philadelphia  ,150,1932,steel,office
Fox Plaza,Los Angeles  ,150,1987,,office
Pacific Gas & Electric Building,San Francisco  ,150,1971,steel,office
The Colonnade,New York City  ,150.3,1982,,residential
Hilton San Francisco Union Square,San Francisco  ,150.3,1971,steel,hotel
1000 Second Avenue,Seattle  ,150.3,1986,steel,office
First National Center,Oklahoma City  ,150.3,1931,steel,office
William Donald Schaefer Tower,Baltimore  ,150.3,1992,,office
PNC Centre,Chicago  ,150.5,1992,,office
Tower 67 Apartments,New York City  ,150.6,1986,,residential
50 East Chestnut Street,Chicago  ,150.7,2008,concrete,residential
